file_path;concept_name;pattern;match_type;matched_text;similarity_score
catalyst/tutorial_qft_arithmetics.py;/pennylane/pennylane.templates.embeddings.basis.BasisEmbedding;Data Encoding;name;BasisEmbedding;1.0000
catalyst/tutorial_qft_arithmetics.py;/classiq/open_library.functions.qft_functions.qft_no_swap;Basis Change;summary;!/usr/bin/env python coding: utf-8 Basic arithmetic with the QFT ============================= This demo requires matplotlib: In[ ]: <div class='admon...;0.6536
catalyst/tutorial_qft_arithmetics.py;/qiskit/qiskit.circuit.library.arithmetic.adders.draper_qft_adder.DraperQFTAdder;Quantum Arithmetic;summary;!/usr/bin/env python coding: utf-8 Basic arithmetic with the QFT ============================= This demo requires matplotlib: In[ ]: <div class='admon...;0.6580
catalyst/tutorial_learningshallow.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 Learning shallow quantum circuits with local inversions and circuit sewing ========================================...;0.6903
qiskit-finance/00_amplitude_estimation.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Amplitude Estimation Given an operator $\mathcal{A}$ that acts as $$ \mathcal{A}|0\rangle = \sqrt{1 - a}|\P...;0.7399
qiskit-finance/00_amplitude_estimation.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Amplitude Estimation Given an operator $\mathcal{A}$ that acts as $$ \mathcal{A}|0\rangle = \sqrt{1 - a}|\P...;0.7157
qiskit-finance/00_amplitude_estimation.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Quantum Amplitude Estimation Given an operator $\mathcal{A}$ that acts as $$ \mathcal{A}|0\rangle = \sqrt{1 - a}|\P...;0.6810
qiskit-finance/09_credit_risk_analysis.py;/qiskit/qiskit.circuit.library.arithmetic.weighted_adder.WeightedAdder;Quantum Arithmetic;name;WeightedAdder;1.0000
qiskit-finance/09_credit_risk_analysis.py;/qiskit/qiskit.circuit.library.arithmetic.integer_comparator.IntegerComparator;Quantum Arithmetic;name;IntegerComparator;1.0000
qiskit-finance/09_credit_risk_analysis.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Credit Risk Analysis Introduction This tutorial shows how quantum algorithms can be used for credit risk analysis. ...;0.6566
qiskit-finance/06_basket_option_pricing.py;/qiskit/qiskit.circuit.library.arithmetic.weighted_adder.WeightedAdder;Quantum Arithmetic;name;WeightedAdder;1.0000
qiskit-finance/06_basket_option_pricing.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;"!/usr/bin/env python coding: utf-8 Pricing Basket Options Introduction <br> Suppose a <a href=""https://www.investopedia.com/terms/b/basketoption.asp"">...";0.6622
qiskit-finance/10_qgan_option_pricing.py;/qiskit/qiskit.circuit.library.n_local.two_local.TwoLocal;Variational Quantum Algorithm (VQA);name;TwoLocal;1.0000
qiskit-finance/01_portfolio_optimization.py;/qiskit/qiskit.circuit.library.n_local.two_local.TwoLocal;Variational Quantum Algorithm (VQA);name;TwoLocal;1.0000
qiskit-finance/02_portfolio_diversification.py;/qiskit/qiskit.circuit.library.n_local.two_local.TwoLocal;Variational Quantum Algorithm (VQA);name;TwoLocal;1.0000
qiskit-finance/07_asian_barrier_spread_pricing.py;/qiskit/qiskit.circuit.library.arithmetic.weighted_adder.WeightedAdder;Quantum Arithmetic;name;WeightedAdder;1.0000
qiskit-finance/07_asian_barrier_spread_pricing.py;/qiskit/qiskit.circuit.library.arithmetic.integer_comparator.IntegerComparator;Quantum Arithmetic;name;IntegerComparator;1.0000
qiskit-machine-learning/02_neural_network_classifier_and_regressor.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;zz_feature_map;0.9555
qiskit-machine-learning/02_neural_network_classifier_and_regressor.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;zz_feature_map;1.0000
qiskit-machine-learning/02_neural_network_classifier_and_regressor.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 Neural Network Classifier & Regressor In this tutorial we show how the `NeuralNetworkClassifier` and `NeuralNetwork...;0.6573
qiskit-machine-learning/10_effective_dimension.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;z_feature_map;1.0000
qiskit-machine-learning/10_effective_dimension.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;z_feature_map;0.9555
qiskit-machine-learning/02a_training_a_quantum_model_on_a_real_dataset.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;zz_feature_map;0.9555
qiskit-machine-learning/02a_training_a_quantum_model_on_a_real_dataset.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;zz_feature_map;1.0000
qiskit-machine-learning/03_quantum_kernel.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;zz_feature_map;0.9555
qiskit-machine-learning/03_quantum_kernel.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;zz_feature_map;1.0000
qiskit-machine-learning/05_torch_connector.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;zz_feature_map;0.9555
qiskit-machine-learning/05_torch_connector.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;zz_feature_map;1.0000
qiskit-machine-learning/01_neural_networks.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 Quantum Neural Networks Overview This notebook demonstrates different quantum neural network (QNN) implementations ...;0.6747
qiskit-machine-learning/01_neural_networks.py;/pennylane/pennylane.templates.layers.cv_neural_net.CVNeuralNetLayers;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 Quantum Neural Networks Overview This notebook demonstrates different quantum neural network (QNN) implementations ...;0.6760
qiskit-machine-learning/11_quantum_convolutional_neural_networks.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;z_feature_map;1.0000
qiskit-machine-learning/11_quantum_convolutional_neural_networks.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;z_feature_map;0.9555
qiskit-machine-learning/07_pegasos_qsvc.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;z_feature_map;1.0000
qiskit-machine-learning/07_pegasos_qsvc.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;z_feature_map;0.9555
qiskit-machine-learning/08_quantum_kernel_trainer.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.z_feature_map;Data Encoding;name;zz_feature_map;0.9555
qiskit-machine-learning/08_quantum_kernel_trainer.py;/qiskit/qiskit.circuit.library.data_preparation.pauli_feature_map.zz_feature_map;Data Encoding;name;zz_feature_map;1.0000
Qrisp/FT_compilation.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000
Qrisp/FT_compilation.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/FT_compilation.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/tutorial.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000
Qrisp/tutorial.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000
Qrisp/tutorial.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/tutorial.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/tutorial.py;/classiq/open_library.functions.amplitude_amplification.amplitude_amplification;Amplitude Amplification;summary;!/usr/bin/env python coding: utf-8 Getting familiar with Qrisp Congratulations, you made it to your first Qrisp tutorial! This tutorial is designed to...;0.6514
Qrisp/tutorial.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Getting familiar with Qrisp Congratulations, you made it to your first Qrisp tutorial! This tutorial is designed to...;0.6980
Qrisp/tutorial.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Getting familiar with Qrisp Congratulations, you made it to your first Qrisp tutorial! This tutorial is designed to...;0.6840
Qrisp/tutorial.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Getting familiar with Qrisp Congratulations, you made it to your first Qrisp tutorial! This tutorial is designed to...;0.6661
Qrisp/Shor.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000
Qrisp/Shor.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/Shor.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000
Qrisp/Jasp.py;/qiskit/qiskit.circuit.library.arithmetic.multipliers.rg_qft_multiplier.RGQFTMultiplier;Quantum Arithmetic;name;RGQFTMultiplier;1.0000
Qrisp/TSP.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000
Qrisp/QMCItutorial.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Quantum Monte Carlo Integration This tutorial will provide you with an introduction to Quantum Monte Carlo (QMCI) I...;0.7154
Qrisp/HHL.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;QPE;1.0000
Perceval/QLOQ_QUBO_tutorial.py;/pennylane/pennylane.templates.layers.random.RandomLayers;Variational Quantum Algorithm (VQA);summary;!/usr/bin/env python coding: utf-8 QLOQ (Qubit Logic on Qudits) Welcome to this tutorial, where we explore **QLOQ** (Qubit Logic on Qudits) for linear...;0.6935
Perceval/Graph_States_Tutorial.py;/qiskit/qiskit.circuit.library.graph_state.GraphStateGate;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Graph States I. Some definitions and properties of graph states Graph states are specific entangled states that are...;0.7415
qiskit-algorithms/13_trotterQRTE.py;/qiskit/qiskit.circuit.library.pauli_evolution.PauliEvolutionGate;Hamiltonian Simulation;name;PauliEvolutionGate;1.0000
qiskit-algorithms/13_trotterQRTE.py;/pennylane/pennylane.templates.subroutines.time_evolution.approx_time_evolution.ApproxTimeEvolution;Hamiltonian Simulation;summary;!/usr/bin/env python coding: utf-8 Quantum Real Time Evolution using Trotterization As a real time evolution technique, the Trotterization or Trotteri...;0.6530
qiskit-algorithms/06_grover.py;/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracleGate;Oracle;name;PhaseOracleGate;1.0000
qiskit-algorithms/06_grover.py;/pennylane/pennylane.templates.subroutines.grover.GroverOperator;Grover;name;GroverOperator;1.0000
qiskit-algorithms/06_grover.py;/qiskit/qiskit.circuit.library.grover_operator.GroverOperator;Grover;name;GroverOperator;1.0000
qiskit-algorithms/06_grover.py;/classiq/open_library.functions.amplitude_amplification.amplitude_amplification;Amplitude Amplification;summary;!/usr/bin/env python coding: utf-8 Grover's Algorithm and Amplitude Amplification Grover's algorithm is one of the most famous quantum algorithms intr...;0.7121
qiskit-algorithms/06_grover.py;/classiq/open_library.functions.grover.grover_search;Grover;summary;!/usr/bin/env python coding: utf-8 Grover's Algorithm and Amplitude Amplification Grover's algorithm is one of the most famous quantum algorithms intr...;0.7297
qiskit-algorithms/07_grover_examples.py;/qiskit/qiskit.circuit.library.phase_oracle.PhaseOracleGate;Oracle;name;PhaseOracleGate;1.0000
tensorcircuit/qaoa_bo.py;/qiskit/qiskit.circuit.library.n_local.qaoa_ansatz.QAOAAnsatz;Quantum Approximate Optimization Algorithm (QAOA);name;QAOAansatz;1.0000
tensorcircuit/qaoa_nae3sat.py;/qiskit/qiskit.circuit.library.n_local.qaoa_ansatz.QAOAAnsatz;Quantum Approximate Optimization Algorithm (QAOA);name;QAOAansatz;1.0000
tensorcircuit/nnvqe_cn.py;/pennylane/pennylane.templates.tensornetworks.mera.MERA;Quantum Neural Network (QNN);name;MERA;1.0000
tensorcircuit/nnvqe.py;/pennylane/pennylane.templates.tensornetworks.mera.MERA;Quantum Neural Network (QNN);name;MERA;1.0000
tensorcircuit/mera_cn.py;/pennylane/pennylane.templates.tensornetworks.mera.MERA;Quantum Neural Network (QNN);name;MERA;1.0000
tensorcircuit/qml_scenarios.py;/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Quantum Approximate Optimization Algorithm (QAOA);summary;!/usr/bin/env python coding: utf-8 Quantum Machine Learning for Classification Task **Demonstrations on some common setups and techniques** Overview W...;0.6517
tensorcircuit/mera.py;/pennylane/pennylane.templates.tensornetworks.mera.MERA;Quantum Neural Network (QNN);name;MERA;1.0000
tensorcircuit/mera.py;/pennylane/pennylane.templates.tensornetworks.mera.MERA;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 MERA Overview In this tutorial, we'll show you how to implement MERA (multi-scale entangled renormalization ansatz)...;0.7366
tensorcircuit/qaoa.py;/qiskit/qiskit.circuit.library.n_local.qaoa_ansatz.QAOAAnsatz;Quantum Approximate Optimization Algorithm (QAOA);name;QAOAansatz;1.0000
grove/GroversAlgorithm.py;/classiq/open_library.functions.amplitude_amplification.amplitude_amplification;Amplitude Amplification;summary;!/usr/bin/env python coding: utf-8 This notebook is a brief sketch of how to use Grover's algorithm. We start by declaring all necessary imports. In[ ...;0.6683
guppylang/canonical-qpe.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Canonical Quantum Phase estimation **Download this notebook - {nb-download}`canonical-qpe.ipynb`** Based on this [s...;0.8276
guppylang/canonical-qpe.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Canonical Quantum Phase estimation **Download this notebook - {nb-download}`canonical-qpe.ipynb`** Based on this [s...;0.8288
guppylang/canonical-qpe.py;/classiq/open_library.functions.qsvt.qsvt;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Canonical Quantum Phase estimation **Download this notebook - {nb-download}`canonical-qpe.ipynb`** Based on this [s...;0.6856
qiskit-optimization/04_grover_optimizer.py;/classiq/open_library.functions.grover.grover_search;Grover;summary;!/usr/bin/env python coding: utf-8 Grover Optimizer Introduction Grover Adaptive Search (GAS) has been explored as a possible solution for combinatori...;0.7253
qiskit-optimization/06_examples_max_cut_and_tsp.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutations;0.9776
thewalrus/permanent_tutorial.py;/qiskit/qiskit.circuit.library.generalized_gates.diagonal.Diagonal;Circuit Construction Utility;name;diagonal;1.0000
thewalrus/hafnian_tutorial.py;/qiskit/qiskit.circuit.library.generalized_gates.diagonal.Diagonal;Circuit Construction Utility;name;diagonal;1.0000
amazon-braket-algorithm-library/Quantum_Phase_Estimation_Algorithm.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.8073
amazon-braket-algorithm-library/Quantum_Phase_Estimation_Algorithm.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.8099
amazon-braket-algorithm-library/Quantum_Phase_Estimation_Algorithm.py;/classiq/open_library.functions.qsvt.qsvt;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Quantum Phase Estimation This example provides an implementation of the Quantum Phase Estimation (QPE) algorithm us...;0.7026
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft_no_swap;Basis Change;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.7250
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.7153
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.6796
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/pennylane/pennylane.templates.subroutines.gqsp.GQSP;Basis Change;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.6616
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.7098
amazon-braket-algorithm-library/Quantum_Fourier_Transform.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFTGate;Basis Change;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Transform The Quantum Fourier Transform (QFT) is an important subroutine to many quantum algorithms...;0.6854
amazon-braket-algorithm-library/Random_Circuit.py;/qiskit/qiskit.circuit.library.iqp.random_iqp;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Random Circuit Generates random quantum circuits using the Amazon Braket SDK. Circuit Generation for Testing Random...;0.6616
amazon-braket-algorithm-library/Grovers_Search.py;/classiq/open_library.functions.grover.grover_search;Grover;name;grovers_search;0.9720
Cirq/hidden_linear_function.py;/qiskit/qiskit.circuit.library.hidden_linear_function.HiddenLinearFunction;Oracle;name;HiddenLinearFunctionProblem;0.9214
Cirq/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000
Cirq/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.tensornetworks.mps.MPS;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 In[ ]: Cirq to Tensor Networks Here we demonstrate turning circuits into tensor network representations of the circ...;0.6944
Cirq/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.tensornetworks.ttn.TTN;Quantum Neural Network (QNN);summary;!/usr/bin/env python coding: utf-8 In[ ]: Cirq to Tensor Networks Here we demonstrate turning circuits into tensor network representations of the circ...;0.6752
Cirq/quantum_utility_sim_4a.py;/qiskit/qiskit.circuit.library.iqp.random_iqp;Circuit Construction Utility;summary;"!/usr/bin/env python coding: utf-8 In[1]: Copyright 2023 The Cirq Developers Licensed under the Apache License, Version 2.0 (the ""License""), you may n...";0.6580
Cirq/shor.py;/pennylane/pennylane.templates.subroutines.arithmetic.adder.Adder;Quantum Arithmetic;name;Adder;1.0000
Cirq/shor.py;/qiskit/qiskit.circuit.library.arithmetic.adders.adder.Adder;Quantum Arithmetic;name;Adder;1.0000
Cirq/shor.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000
Cirq/shor.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000
Cirq/shor.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000
Cirq/fourier_checking.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutation;1.0000
Cirq/noisy_simulation.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000
Cirq/noisy_simulation.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000
Cirq/noisy_simulation.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000
Cirq/textbook_algorithms.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000
Cirq/textbook_algorithms.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;qft;1.0000
Cirq/textbook_algorithms.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;qft;1.0000
Cirq/quantum_volume.py;/qiskit/qiskit.circuit.library.quantum_volume.QuantumVolume;Circuit Construction Utility;summary;!/usr/bin/env python coding: utf-8 Running the Quantum Volume Algorithm This example walks through the steps of running the quantum volume algorithm o...;0.6639
Cirq/quantum_utility_sim_4b.py;/pennylane/pennylane.templates.embeddings.angle.AngleEmbedding;Data Encoding;summary;"!/usr/bin/env python coding: utf-8 In[1]: Copyright 2023 The Cirq Developers Licensed under the Apache License, Version 2.0 (the ""License""), you may n...";0.6567
qibo/qfiae_demo.py;/pennylane/pennylane.templates.subroutines.qmc.QuantumMonteCarlo;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 Quantum Fourier Iterative Amplitude Estimation Code at: [https://github.com/qiboteam/qibo/tree/master/examples/qfia...;0.6603
qibo/qibo-draw-circuit-matplotlib.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000
qibo/qibo-draw-circuit-matplotlib.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000
qibo/qibo-draw-circuit-matplotlib.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000
ReCirq/binary_paintshop.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutation;1.0000
amazon-braket-examples/3_Hydrogen_Molecule_geometry_with_VQE.py;/pennylane/pennylane.templates.subroutines.qchem.all_singles_doubles.AllSinglesDoubles;Variational Quantum Eigensolver (VQE);name;AllSinglesDoubles;1.0000
amazon-braket-examples/3_Hydrogen_Molecule_geometry_with_VQE.py;/pennylane/pennylane.templates.subroutines.qchem.all_singles_doubles.AllSinglesDoubles;Variational Quantum Eigensolver (VQE);summary;!/usr/bin/env python coding: utf-8 Hydrogen Molecule geometry with VQE This tutorial will show you how to solve an important problem for quantum chemi...;0.6915
amazon-braket-examples/01_Local_Emulation_for_Verbatim_Circuits_on_Amazon_Braket.py;/pennylane/pennylane.templates.subroutines.gqsp.GQSP;Basis Change;summary;!/usr/bin/env python coding: utf-8 Local emulation for verbatim circuits on Amazon Braket This notebook introduces the local emulator, a tool that ena...;0.6512
amazon-braket-examples/Quantum_Phase_Estimation.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);name;qpe;1.0000
amazon-braket-examples/Quantum_Phase_Estimation.py;/classiq/open_library.functions.qpe.qpe_flexible;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 QUANTUM PHASE ESTIMATION In[23]: Use Braket SDK Cost Tracking to estimate the cost to run this example This tutoria...;0.8607
amazon-braket-examples/Quantum_Phase_Estimation.py;/classiq/open_library.functions.qpe.qpe;Quantum Phase Estimation (QPE);summary;!/usr/bin/env python coding: utf-8 QUANTUM PHASE ESTIMATION In[23]: Use Braket SDK Cost Tracking to estimate the cost to run this example This tutoria...;0.8126
amazon-braket-examples/Quantum_Phase_Estimation.py;/classiq/open_library.functions.qsvt.qsvt;Domain Specific Application;summary;!/usr/bin/env python coding: utf-8 QUANTUM PHASE ESTIMATION In[23]: Use Braket SDK Cost Tracking to estimate the cost to run this example This tutoria...;0.7559
amazon-braket-examples/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft_no_swap;Basis Change;name;qft_no_swap;1.0000
amazon-braket-examples/Quantum_Fourier_Transform.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;qft;1.0000
